feature,importance
num__policy_tenure,0.45492042646450254
num__age_of_car,0.22637055359370745
num__age_of_policyholder,0.08043624221614032
num__gross_weight,0.04278369992369978
num__population_density,0.02180040223360427
num__height,0.020819354216976636
cat__model_M1,0.01324301651457706
cat__area_cluster_C18,0.012318509844906844
num__cylinder,0.011238602915592212
num__length,0.009873597367206121
num__displacement,0.008797751236400714
cat__segment_A,0.00821635959758502
cat__steering_type_Power,0.006892289183690728
cat__area_cluster_C3,0.006735787513483173
cat__area_cluster_C10,0.0056036245320621025
cat__engine_type_F8D Petrol Engine,0.004637648077793359
num__width,0.004203013330499491
cat__area_cluster_C7,0.0038136575790484618
cat__max_torque_60Nm@3500rpm,0.0034756795840750667
cat__max_power_55.92bhp@5300rpm,0.003447981623346518
cat__area_cluster_C19,0.0033925181870521756
cat__area_cluster_C13,0.0029977218966682406
cat__area_cluster_C1,0.0028904681802728875
cat__engine_type_1.5 Turbocharged Revotron,0.0023395430383741983
cat__area_cluster_C2,0.0022619286874543234
cat__area_cluster_C4,0.0022440712279557544
cat__model_M2,0.0022092789237917352
cat__model_M5,0.002033763971666163
cat__model_M8,0.001688219763280945
cat__fuel_type_Diesel,0.0015606755751442101
cat__segment_B2,0.0015301047337053836
cat__is_brake_assist_Yes,0.0014898915376907564
cat__area_cluster_C11,0.0014720678741362671
cat__engine_type_1.2 L K Series Engine,0.0013645534903523708
cat__segment_B1,0.0013390281071803505
cat__area_cluster_C8,0.0012947975544758037
cat__area_cluster_C5,0.001198674327487332
cat__area_cluster_C21,0.0011944346301903934
cat__area_cluster_C17,0.0011559887151215257
cat__max_power_40.36bhp@6000rpm,0.0011058261496558236
cat__engine_type_1.0 SCe,0.0010693298356931613
cat__area_cluster_C16,0.0010540955790717252
cat__area_cluster_C14,0.0010447523399509586
cat__is_driver_seat_height_adjustable_No,0.0009753029764702385
cat__area_cluster_C9,0.0009126597715928964
cat__engine_type_1.5 Turbocharged Revotorq,0.0009125132955971176
num__make,0.0008810317510051948
cat__engine_type_1.2 L K12N Dualjet,0.0008712397323889643
cat__max_power_67.06bhp@5500rpm,0.0007792439088995778
cat__engine_type_G12B,0.0007519617514135018
cat__is_esc_Yes,0.0007242448684406451
cat__model_M11,0.0007227632177118942
cat__fuel_type_Petrol,0.0006990002990757324
cat__model_M7,0.0005483556698494986
num__gear_box,0.0004733861388674514
cat__max_torque_82.1Nm@3400rpm,0.00038913238302542576
cat__max_power_88.77bhp@4000rpm,0.00034591335855424017
cat__max_torque_170Nm@4000rpm,0.00023273245933351364
cat__is_power_door_locks_No,0.00013480370724702385
cat__max_torque_200Nm@3000rpm,8.578283525672429e-05
cat__fuel_type_CNG,0.0
num__ncap_rating,0.0
cat__is_rear_window_washer_No,0.0
cat__is_rear_window_wiper_Yes,0.0
cat__is_rear_window_wiper_No,0.0
cat__is_front_fog_lights_Yes,0.0
cat__is_front_fog_lights_No,0.0
cat__steering_type_Manual,0.0
cat__is_rear_window_defogger_No,0.0
cat__steering_type_Electric,0.0
cat__transmission_type_Manual,0.0
cat__transmission_type_Automatic,0.0
cat__rear_brakes_type_Drum,0.0
cat__rear_brakes_type_Disc,0.0
cat__is_parking_camera_Yes,0.0
cat__is_rear_window_washer_Yes,0.0
num__turning_radius,0.0
cat__is_rear_window_defogger_Yes,0.0
cat__is_brake_assist_No,0.0
cat__is_parking_sensors_Yes,0.0
cat__is_power_door_locks_Yes,0.0
cat__is_central_locking_No,0.0
cat__is_central_locking_Yes,0.0
cat__is_power_steering_No,0.0
cat__is_power_steering_Yes,0.0
num__airbags,0.0
cat__is_driver_seat_height_adjustable_Yes,0.0
cat__is_day_night_rear_view_mirror_No,0.0
cat__is_day_night_rear_view_mirror_Yes,0.0
cat__is_ecw_No,0.0
cat__is_ecw_Yes,0.0
cat__is_speed_alert_No,0.0
cat__is_parking_camera_No,0.0
cat__is_tpms_Yes,0.0
cat__is_parking_sensors_No,0.0
cat__segment_Utility,0.0
cat__max_torque_200Nm@1750rpm,0.0
cat__max_torque_250Nm@2750rpm,0.0
cat__model_M9,0.0
cat__model_M6,0.0
cat__max_torque_85Nm@3000rpm,0.0
cat__max_torque_91Nm@4250rpm,0.0
cat__max_power_113.45bhp@4000rpm,0.0
cat__max_power_118.36bhp@5500rpm,0.0
cat__model_M4,0.0
cat__model_M3,0.0
cat__max_power_61.68bhp@6000rpm,0.0
cat__model_M10,0.0
cat__max_power_88.50bhp@6000rpm,0.0
cat__max_power_97.89bhp@3600rpm,0.0
cat__segment_C2,0.0
cat__max_torque_113Nm@4400rpm,0.0
cat__segment_C1,0.0
cat__engine_type_1.5 L U2 CRDi,0.0
cat__area_cluster_C6,0.0
cat__area_cluster_C22,0.0
cat__area_cluster_C20,0.0
cat__area_cluster_C15,0.0
cat__engine_type_K Series Dual jet,0.0
cat__engine_type_K10C,0.0
cat__engine_type_i-DTEC,0.0
cat__is_esc_No,0.0
cat__area_cluster_C12,0.0
cat__is_adjustable_steering_No,0.0
cat__is_adjustable_steering_Yes,0.0
cat__is_tpms_No,0.0
cat__is_speed_alert_Yes,0.0
